,listing_id,address,property_type,property_link,price_per_month,featured_property,dates_available,furnishing,letting_type,date_added,date_reduced,description,longitude,latitude,initial_scrape_date,most_recent_scrape_date,Bermondsey,Borough,Canada Water,Elephant & Castle,Elephant & Castle (Bakerloo),Elephant & Castle (Northern),London Bridge,Monument,Queens Road Peckham,Rotherhithe,South Bermondsey,Southwark,Surrey Quays,Tower Gateway,Tower Hill,Wapping
0,77992049,"Tower Bridge Road, London, SE1",1 bedroom apartment,https://www.rightmove.co.uk//property-to-rent/property-77992049.html,"£1,690 pcm",,13/02/2019,Furnished,Long term,,18 December 2018 (15 hours ago),Modern one bedroom apartment 7min walk from London Bridge Station. Full furnished to executive standard. Good size open plan living room with balcony and fitted kitchen. Floor to ceiling windows give ample natural light. 24/7 concierge. Viewing Highly Recommended,-0.079343,51.50104,18/12/2018,19/12/2018,,0.6 mi,,,,,0.4 mi,,,,,,,,0.6 mi,
1,58948896,"Bush road, Deptford SE8",1 bedroom flat,https://www.rightmove.co.uk//property-to-rent/property-58948896.html,£750 pcm,,07/01/2019,Furnished,,18 December 2018 (20 hours ago),,"We are pleased to present this spacious bedroom for rent!The room is very large and comes furnished.You will be sharing with 2 more people.Separate kitchen, gas central heating, tiled bathroom.Additional features are off street parking, balcony.The room is in great location!Train station is only 5 minutes away.Call now to arrange a viewing!",-0.045502,51.490499,18/12/2018,19/12/2018,,,0.6 mi,,,,,,,,0.4 mi,,0.2 mi,,,
2,55050408,"Bush Road, Surrey Queys SE8",1 bedroom flat,https://www.rightmove.co.uk//property-to-rent/property-55050408.html,£600 pcm,,10/01/2019,Furnished,,18 December 2018 (20 hours ago),,"We are pleased to present this spacious bedroom for rent!The room is very large and comes furnished.You will be sharing with 2 more people.Separate kitchen, gas central heating, tiled bathroom.Additional features are off street parking, balcony.The room is in great location!Train station is only 5 minutes away.Call now to arrange a viewing!",-0.045502,51.490499,18/12/2018,19/12/2018,,,0.6 mi,,,,,,,,0.4 mi,,0.2 mi,,,
3,68795125,"Birchmere Lodge, South Bermondsey SE16",2 bedroom flat,https://www.rightmove.co.uk//property-to-rent/property-68795125.html,"£1,400 pcm",,29/12/2018,Furnished,Long term,,18 December 2018 (23 hours ago),"PRESENTED TO THE MARKET IS THIS SPACIOUS TWO BEDROOM APARTMENT, located in a private Development offering an abundance of natural light. Comprising a large lounge with Juliette balcony,  a fully fitted kitchen, two good sized double bedrooms and a three piece family bathroom. The property is neutrally decorated throughout and offers excellent transport links including South Bermondsey Station.",-0.064428,51.486794,18/12/2018,19/12/2018,0.8 mi,,,,,,,,,,0.4 mi,,0.9 mi,,,
4,59214671,"New Kent Road, London, SE1",2 bedroom flat,https://www.rightmove.co.uk//property-to-rent/property-59214671.html,"£1,699 pcm",,03/01/2019,Furnished,,,17 December 2018 (1 day ago),"This property is neutrally decorated throughout and boasts a large open plan kitchen and sitting room. You also get a premium feature for central London as it boasts a private balcony. Both bedrooms are large doubles and the apartment comes fully furnished throughout. Prime location just minutes' walk from Elephant and Castle as well as just a short walk from East Street and Borough Markets, Tower and London Bridges and South Bank and the river walk.  Contact Cubix Estate Agents to arrange a viewing today.  Available from January.",-0.095318,51.494556,18/12/2018,19/12/2018,,,,0.2 mi,0.3 mi,0.2 mi,,,,,,,,,,
5,55696455,"Eastwell House Weston Street,  Borough, SE1",2 bedroom apartment,https://www.rightmove.co.uk//property-to-rent/property-55696455.html,"£1,730 pcm",,Now,Furnished,,17 December 2018 (1 day ago),,"RE/MAX presents this two-bedroom apartment located on Weston Street SE1 on the third floor in this popular development. The property comprises two double bedrooms, bright reception room, modern fitted kitchen, bathroom and separate WC. The apartment is decorated in neutral colours with laminated flooring and benefits from gas central heating.Eastwell House is situated near to Borough underground station (Northern Line) and London Bridge train/underground station (Northern and Jubilee Line and National Rail) providing easy access into the City, Canary Wharf and the West End. Bermondsey Street, the food markets of Maltby Street, South Bank and Borough Market along with the other great local amenities of central London are all in walking distance of the apartment.",-0.086518,51.49828,18/12/2018,19/12/2018,,0.4 mi,,,0.6 mi,,0.5 mi,,,,,,,,,
6,77961560,"Sheperd Drive, Bermondsey, SE16 3EJ",2 bedroom ground floor flat,https://www.rightmove.co.uk//property-to-rent/property-77961560.html,"£1,400 pcm",,,,,17 December 2018 (1 day ago),,"Hunters Estate Agents in Surrey Quays is pleased to offer unto the lettings market this 2 bedroom ground floor flat, the property is available from 13th January 2019. For viewing appointments, please contact our lettings department on 0207 2322211.",-0.061988,51.488974,18/12/2018,19/12/2018,0.6 mi,,,,,,,,,,0.3 mi,,0.7 mi,,,
7,67182974,"New Place Square, London, SE16",1 bedroom flat,https://www.rightmove.co.uk//property-to-rent/property-67182974.html,"£1,213 pcm",,,Furnished,,17 December 2018 (1 day ago),,"Oppida are please to offer for rent a cosy one bedroom flat ideally located within short walking distance to Bermondsey Tube Station. This top floor property comprises living room with access to a private balcony, kitchen, bedroom and a bathroom. Benefits include secure entry system, wood flooring throughout and walk in cupboard.  *HOT WATER AND HEATING INCLUDED IN THE PRICE*  Agency Fees ApplyAdministration fee £200 per propertyReference fee £60 per personCheck out fee £100",-0.061043,51.497682,18/12/2018,19/12/2018,0.1 mi,,0.5 mi,,,,,,,0.4 mi,,,,,,
8,69047956,"Archers Lodge, Bermondsey SE16",1 bedroom flat,https://www.rightmove.co.uk//property-to-rent/property-69047956.html,"£1,175 pcm",,11/02/2019,Furnished,Long term,17 December 2018 (1 day ago),,"A SPACIOUS ONE BEDROOM APARTMENT, located on the second floor of a private Development. Archers Lodge offers neutral decor throughout and is well placed for local amenities and transport links. Internally comprising a larger than average lounge, separate fitted kitchen, master bedroom and a three piece bathroom. Benefiting from storage space, allocated parking and a Juliette balcony.",-0.064951,51.485678,18/12/2018,19/12/2018,0.9 mi,,,,,,,,0.9 mi,,0.5 mi,,,,,
9,77922077,"Tower Bridge Road, London, SE1",1 bedroom apartment,https://www.rightmove.co.uk//property-to-rent/property-77922077.html,"£1,690 pcm",,13/02/2019,Furnished,Long term,15 December 2018 (3 days ago),,"Stunning Open Plan 1 Bedroom Apartment 7min walk from London Bridge station. Fully furnished to executive standard, 4th floor with a large private balcony. 24 hour concierge and security on site. Fully fitted kitchen with washer/dryer. Gym and car park (additional cost) on site",-0.079343,51.50104,18/12/2018,19/12/2018,,0.6 mi,,,,,0.4 mi,,,,,,,,0.6 mi,
