,listing_id,address,no_rooms,price,property_types,property_link,reduced/added,date_reduced/added,no_pictures,latitude,longitude,agent_name,agent_number,most_recent_scrape_date,initial_scrape_date
0,70228570,"Stubbs Drive, South Bermondsey, SE16",2,"£350,000", flat,https://www.rightmove.co.uk//property-for-sale/property-70228570.html,Added ,2019-02-21 00:00:00,5,51.488241,-0.059255,"Foxtons, London Bridge",020 8012 6757,22/02/2019,22-02-2019
1,69215737,"Great Suffolk Street, Borough, SE1",1,"£460,000", flat,https://www.rightmove.co.uk//property-for-sale/property-69215737.html,Reduced ,2019-02-21 00:00:00,13,51.501119,-0.098831,"Foxtons, London Bridge",020 8012 6757,22/02/2019,21/02/2019
2,69681757,"Mandeville House, Bermondsey SE1",3,"£375,000", maisonett,https://www.rightmove.co.uk//property-for-sale/property-69681757.html,Reduced ,2019-02-21 00:00:00,7,51.488626,-0.072841,"Alex Neil Estate Agents, South East London - Sales",020 8012 0319,22/02/2019,21/02/2019
3,79549748,"Concorde Way, London, SE16",1,"£360,000", flat,https://www.rightmove.co.uk//property-for-sale/property-79549748.html,Added ,2019-02-21 00:00:00,8,51.490291,-0.046939,"Kallars, London",020 8012 6994,22/02/2019,21-02-2019
4,75545393,"Henley Drive, London, SE1",1,"£340,000", flat,https://www.rightmove.co.uk//property-for-sale/property-75545393.html,Reduced ,2019-02-20 00:00:00,9,51.493896,-0.073088,"Stirling Ackroyd, London Bridge",020 8012 2405,22/02/2019,21/02/2019
5,59423931,"Stubbs Drive, Bermondsey",1,"£285,000", flat,https://www.rightmove.co.uk//property-for-sale/property-59423931.html,Reduced ,2019-02-20 00:00:00,13,51.48769,-0.06075,"Kinleigh Folkard & Hayward - Sales, Canada Water",020 8012 2766,22/02/2019,21/02/2019
6,60422916,"Brodie House, Bermondsey SE1",3,"£350,000", duplex,https://www.rightmove.co.uk//property-for-sale/property-60422916.html,Added ,2019-02-20 00:00:00,2,51.487969,-0.073389,"Alex Neil Estate Agents, South East London - Sales",020 8012 0319,22/02/2019,21/02/2019
7,54725169,"Old Kent Road, Borough",3,"£450,000", flat,https://www.rightmove.co.uk//property-for-sale/property-54725169.html,Reduced ,2019-02-20 00:00:00,6,51.49154,-0.08147,"Kinleigh Folkard & Hayward - Sales, London Bridge",020 8012 2031,22/02/2019,21/02/2019
8,56764827,"118 Southwark Bridge Road, Borough, SE1",1,"£500,000", apartment,https://www.rightmove.co.uk//property-for-sale/property-56764827.html,Reduced ,2019-02-19 00:00:00,9,51.501333,-0.098619,"Purplebricks, covering London",0121 396 0233,22/02/2019,21/02/2019
9,60363642,"Neckinger Estate, London, SE16",2,"£415,000", flat,https://www.rightmove.co.uk//property-for-sale/property-60363642.html,Added ,2019-02-19 00:00:00,10,51.497324,-0.073175,"Purplebricks, covering London",0121 396 0233,22/02/2019,21/02/2019
