,listing_id,address,property_type,property_link,price_per_month,featured_property,dates_available,furnishing,description,longitude,latitude,initial_scrape_date,most_recent_scrape_date,Bermondsey,Borough,Elephant & Castle,London Bridge,Queens Road (Peckham),Rotherhithe,South Bermondsey,Surrey Quays,Wapping
0,36967956,"Abingdon Close, London SE1",1 bed end terrace house to rent,https://www.zoopla.co.uk/to-rent/details/36967956,"£1,235 pcm",,18th Feb 2019,Furnished,"A well-presented 1 bedroom house ideally situated in this quiet residential cul-de-sac. The house benefits from a good size reception room, separate kitchen, large double bedroom and modern bathroom. Further benefits include allocated parking.The area has a weekly antiques market on a Friday and is a short walk to Shad Thames & Bermondsey Street which are home to an array of bars and restaurants.",-0.071993,51.489463,19/12/2018,19/12/2018,0.7 miles,,,,,,0.8 miles,,
1,46146823,"Bermondsey Wall West, London SE16",1 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/46146823,"£1,690 pcm",,17th Jan 2019,Furnished,"City Docklands present to market this one bedroom warehouse style apartment with exposed brickwork located on the bank of the River Thames. Located on the cusp of Shad Thames on Bermondsey Wall West, this Berkeley built apartment is in excellent condition throughout and benefits from a communal garden with Thames side seating. Offered furnished.",-0.067564,51.501197,19/12/2018,19/12/2018,0.3 miles,,,,,,,,0.5 miles
2,49980475,"Tower Bridge Road, London Bridge SE1",1 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/49980475,"£1,690 pcm",,13th Feb 2019,Furnished,Modern one bedroom apartment 7 min walk from London Bridge Station. Available now! Full furnished to executive standard. Good size open plan living room with balcony and fitted kitchen. Floor to ceiling windows give ample natural light. 24/7 concierge.Modern 1 Bedroom Open Plan ApartmentAmple Natural Light Throughout7min Walk to London Bridge StationPrivate BalconyUnder Floor Heating and Wooden Floors Throughout24 Hour Concierge and Security On siteFully Fitted Kitchen with Washer DryerFloor to Ceiling WindowsView Today,-0.079254,51.501084,19/12/2018,19/12/2018,,0.6 miles,,0.4 miles,,,,,
3,49972884,"Sheperd Drive, Bermondsey SE16",2 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/49972884,"£1,400 pcm",,,,"Hunters Estate Agents in Surrey Quays is pleased to offer unto the lettings market this 2 bedroom ground floor flat, the property is available from 13th January 2019. For viewing appointments, please contact our lettings department on .",-0.061884,51.489045,19/12/2018,19/12/2018,0.6 miles,,,,,,0.3 miles,,
4,48530036,"Eastwell House Weston Street, Borough SE1",2 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/48530036,"£1,730 pcm",,17th Dec 2018,Furnished,"Re/max presents this two-bedroom apartment located on Weston Street SE1 on the third floor in this popular development. The property comprises two double bedrooms, bright reception room, modern fitted kitchen, bathroom and separate WC. The apartment is decorated in neutral colours with laminated flooring and benefits from gas central heating.Eastwell House is situated near to Borough underground station (Northern Line) and London Bridge train/underground station (Northern and Jubilee Line and National Rail) providing easy access into the City, Canary Wharf and the West End. Bermondsey Street, the food markets of Maltby Street, South Bank and Borough Market along with the other great local amenities of central London are all in walking distance of the apartment.",-0.086516,51.498343,19/12/2018,19/12/2018,,0.4 miles,,0.5 miles,,,,,
5,49968801,"Plough Way, Surrey Quays, London SE16",2 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/49968801,"£1,600 pcm",,,,"Spacious two bedroom apartment in Surrey Quays, 200 meters from the Station. Offered unfurnished and available 21st Jan 2019. Click for more information...TComprising of two double bedrooms, a spacious bathroom with over-tub shower, a semi open-plan kitchen to a large and naturally lit reception.",-0.0436,51.492194,19/12/2018,19/12/2018,,,,,,,,0.2 miles,
6,49968502,"Culloden Close, London SE16",1 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/49968502,"£1,175 pcm",,11th Feb 2019,Furnished,"A spacious one bedroom apartment, located on the second floor of a private Development. Archers Lodge offers neutral decor throughout and is well placed for local amenities and transport links. Internally comprising a larger than average lounge, separate fitted kitchen, master bedroom and a three piece bathroom. Benefiting from storage space, allocated parking and a Juliette balcony.",-0.064951,51.485678,19/12/2018,19/12/2018,0.8 miles,,,,,,0.5 miles,,
7,49960738,"Dover Flats, London SE1",2 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/49960738,"£1,550 pcm",,15th Dec 2018,Furnished,"**please note this apartment does not have A lift.**A fourth floor apartment refurbished in recent years with lounge & separate kitchen/diner available now.Boasting wooden floors, freshly repainted walls, fully fitted (Separate) larger than average kitchen, modern bathroom with shower and stylishly furnished situated on the fourth floor of this period building. Further benefits include a massive communal roof terrace with stunning views over the cityscape. ""Dover Flats"" is located at the North end of Old Kent Road and at the bottom of Tower Bridge Road.For transport, numerous buses and night buses stop outside the property or Borough station ( Northern Line ) can be reached in ten minutes.",-0.081038,51.491554,19/12/2018,19/12/2018,,0.9 miles,0.8 miles,,,,,,
8,49960182,"Tower Bridge Road, London Bridge SE1",1 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/49960182,"£1,690 pcm",,13th Feb 2019,Furnished,"Seamless open plan 1-bedroom apartment in private gated development. With generous size kitchen/lounge filled with natural light leading to panoramic views of London from your own private balcony. Complete with dishwasher and separate cupboard for washer/dryer. The apartment also benefits from being fully furnished, modern ensuite bathroom and underfloor heating. Great onsite amenities such as 24hr concierge and security and furthermore gym and parking (at additional cost). Within 10 minutes walking distance to London Bridge this property is available on the 13th Feb. Inspect today!Large open plan apartment with private balconyModern bathroomNatural light filled loungeKitchen fitted with dishwasherSeparate cupboard with washer/dryerGated development with 24hr conciergeAvailable 13th FebApproximately 10 minute walk to London Bridge",-0.079254,51.501084,19/12/2018,19/12/2018,,0.6 miles,,0.4 miles,,,,,
9,44217794,"New Place Square, London SE16",1 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/44217794,"£1,213 pcm",,14th Jan 2019,Furnished,"A cosy 1 bedroom flat ideally located within short walking distance to Bermondsey Tube Station. This top floor property comprises living room with access to a private balcony, kitchen, bedroom and a bathroom. Benefits include secure entry system, wood flooring troughout and walk in cupboard.*hot water and heating included in the price*",-0.06091,51.497751,19/12/2018,19/12/2018,0.1 miles,,,,,0.4 miles,,,
