district,no_properties,link,code
BR1,143,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E251&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E251
BR2,143,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E252&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E252
BR3,99,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E253&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E253
BR4,25,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E254&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E254
BR5,149,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E255&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E255
BR6,127,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E256&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E256
BR7,50,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E257&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E257
BR8,71,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E258&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E258
CM13,63,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E486&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E486
CM14,157,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E487&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E487
CR0,650,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E523&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E523
CR2,165,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E524&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E524
CR3,168,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E525&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E525
CR4,175,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E526&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E526
CR5,64,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E527&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E527
CR6,30,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E528&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E528
CR7,184,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E529&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E529
CR8,93,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E530&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E530
DA1,207,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E589&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E589
DA14,85,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E594&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E594
DA15,100,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E595&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E595
DA16,126,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E596&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E596
DA17,70,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E597&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E597
DA18,5,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E598&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E598
DA5,62,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E602&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E602
DA6,19,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E603&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E603
DA7,91,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E604&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E604
DA8,99,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E605&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E605
E1,97,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E744&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E744
E10,80,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E745&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E745
E11,94,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E746&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E746
E12,63,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E747&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E747
E13,150,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E748&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E748
E14,125,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E749&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E749
E15,113,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E750&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E750
E16,122,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E751&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E751
E17,155,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E752&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E752
E18,39,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E753&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E753
E1W,13,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E754&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E754
E2,38,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E755&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E755
E3,114,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E756&insId=1&minPrice=200000&maxPrice=450000&minBedrooms=2&secondaryDisplayPropertyType=housesandflats&numberOfPropertiesPerPage=24&areaSizeUnit=sqft&googleAnalyticsChannel=buying,OUTCODE%5E756
